file,noise_type,sigma,psnr_noisy,ssim_noisy,psnr_model,ssim_model,psnr_mean,ssim_mean,psnr_median,ssim_median,psnr_adaptive,ssim_adaptive,best_psnr,best_ssim
L1_4d1627716979d31119ba65ccc93a435c.npy,uniform,0.0392,32.9,0.9,38.869,0.9791,36.103,0.9661,35.822,0.9537,37.305,0.9729,model,model
L1_17affe7ec92a206b7a62678358a75147.npy,uniform,0.0364,33.564,0.8776,41.879,0.9922,25.582,0.9079,32.8,0.9496,37.249,0.9835,model,model
L1_04b85bffac3d2fc5bca3d16fe9502ca5.npy,uniform,0.0312,33.746,0.9605,36.939,0.9795,30.059,0.9331,31.027,0.9389,34.27,0.9613,model,model
L1_05ba7222bdb1f78467d9ff228c8f67dc.npy,uniform,0.0312,34.875,0.8877,39.617,0.9712,29.158,0.9101,31.192,0.905,38.582,0.9649,model,model
L1_2f6fc8694382af8a7d6dda297c010630.npy,uniform,0.0195,37.263,0.9297,40.053,0.963,33.581,0.933,35.322,0.9302,39.013,0.9521,model,model
L1_4b809a8a13e88ecb0f52daf5cf7dca72.npy,uniform,0.0177,38.6,0.9955,38.23,0.9948,22.2,0.8189,22.785,0.8412,28.586,0.9453,model,model
L1_6d1d69cfac998612b2332cf81ed16e66.npy,uniform,0.0148,41.352,0.9776,43.645,0.9884,31.599,0.942,33.862,0.956,42.429,0.9824,model,model
L1_2d38d4c68a7fbe17ee9856e271d27091.npy,uniform,0.013,42.484,0.9944,35.906,0.9666,23.075,0.6591,24.648,0.6861,28.803,0.7397,model,model
L1_0df01378473d4629579e6efc2dc3d4e5.npy,uniform,0.0041,51.593,0.9966,53.98,0.9986,27.76,0.9113,28.865,0.9326,54.027,0.9989,adaptive,adaptive
L1_6af6bcfddf2220e56fbd302720760e2c.npy,uniform,0.0011,62.463,1.0,47.285,0.9992,20.442,0.6236,21.625,0.7304,25.115,0.8683,model,model
L1_3fe6c5543ec41e50b86774f3e6da71ff.npy,salt_and_pepper,0.1939,12.801,0.3701,24.922,0.9145,16.341,0.1258,16.115,0.1282,16.896,0.1871,model,model
L1_6c23969e708cb06ae02273334545d854.npy,salt_and_pepper,0.1631,13.604,0.4498,32.826,0.9926,21.204,0.7996,27.8,0.9572,20.065,0.7651,model,model
L1_01a9d3f7317bf4905b707e63524d610f.npy,salt_and_pepper,0.1464,14.139,0.4358,29.156,0.9532,19.515,0.5024,21.942,0.6101,19.226,0.486,model,model
L1_6ca2a47b6aec6b013e999bc65bdea173.npy,salt_and_pepper,0.1458,13.713,0.4066,31.753,0.9803,19.894,0.6286,25.866,0.9509,19.504,0.6423,model,model
L1_0b3537fb4f3c887b23f6e414fc4ca2d0.npy,salt_and_pepper,0.1416,14.411,0.3054,33.408,0.9851,21.473,0.5488,27.271,0.9511,20.843,0.5783,model,model
L1_304e7c168adc07e83c821014a1e2c1ad.npy,salt_and_pepper,0.1368,14.683,0.1273,33.982,0.9678,23.092,0.4143,30.086,0.8425,22.424,0.4088,model,model
L1_92cc208e080b913e49ef2542c5e8fbe0.npy,salt_and_pepper,0.1275,14.872,0.5108,28.323,0.9622,19.201,0.5993,21.711,0.7939,19.365,0.601,model,model
L1_273b4c1c087d903db337c8fa4b2365ed.npy,salt_and_pepper,0.1185,14.782,0.1096,34.077,0.9599,22.544,0.303,28.634,0.9186,20.808,0.2711,model,model
L1_1ad4b95334797b7738e9367ac338c03c.npy,salt_and_pepper,0.105,15.548,0.4573,36.018,0.9942,22.903,0.7718,30.18,0.9629,21.593,0.7283,model,model
L1_9d3530a09bfb87f4979baf3a9811c922.npy,salt_and_pepper,0.1045,15.619,0.1609,35.092,0.9814,23.017,0.368,27.799,0.9499,22.134,0.3682,model,model
L1_1ce37144bd9a97f87ed4c0478ea41155.npy,salt_and_pepper,0.0912,15.562,0.4175,28.851,0.9694,20.085,0.5526,21.875,0.8056,20.075,0.5638,model,model
L1_1b3b1a00999c6c2ea4b5610cef292922.npy,salt_and_pepper,0.0864,16.177,0.3551,35.867,0.9899,23.868,0.6121,32.119,0.9864,21.553,0.6194,model,model
L1_1c847e2af112abd9be413d9e46b796e8.npy,salt_and_pepper,0.0733,15.553,0.8292,29.155,0.9935,16.907,0.8329,19.855,0.9331,16.11,0.7848,model,model
L1_7a2174ac52838d98d053655bc5ea4c82.npy,salt_and_pepper,0.0717,16.861,0.4202,36.932,0.9923,24.735,0.7605,32.105,0.9547,22.313,0.6496,model,model
L1_8b6353a986dc9cd472b05f177086f9f6.npy,salt_and_pepper,0.0622,17.488,0.405,37.586,0.9939,25.994,0.7927,34.809,0.9719,22.762,0.6505,model,model
L1_2eb653d0a53e4ac65bb6e76729ee6fd4.npy,salt_and_pepper,0.0609,18.091,0.3253,38.956,0.9943,25.685,0.6402,34.229,0.986,23.696,0.5878,model,model
L1_55f84acbc31daa904a6351501e6afb3a.npy,salt_and_pepper,0.0562,17.966,0.8308,35.716,0.9982,19.641,0.8399,24.224,0.9543,20.107,0.854,model,model
L1_1d3151492cfe408522a065d2a63a49ea.npy,salt_and_pepper,0.0399,18.477,0.3411,36.424,0.9751,26.376,0.6588,32.819,0.8789,19.136,0.3408,model,model
L1_67114a78d86a982c491e38e556a42bd8.npy,salt_and_pepper,0.0397,19.654,0.555,38.106,0.998,25.294,0.8235,29.941,0.9742,23.679,0.7671,model,model
L1_5b5806a88b787ca126fcf167501ce91d.npy,salt_and_pepper,0.0282,20.056,0.9221,30.013,0.9923,17.363,0.839,19.721,0.9099,17.926,0.8533,model,model
L1_96578dac7ec11475088527aaf0e32e1d.npy,salt_and_pepper,0.0239,20.544,0.4263,41.03,0.9924,29.317,0.7584,39.728,0.9762,20.811,0.4346,model,model
L1_7ad1177610174877f341a94f1e93fb29.npy,salt_and_pepper,0.0232,21.367,0.8863,40.895,0.9991,28.609,0.9738,35.162,0.9954,24.359,0.9378,model,model
L1_aaacf5d6cdd6a2ec7a9149237c1bb254.npy,salt_and_pepper,0.0216,22.491,0.455,38.377,0.9871,27.665,0.6821,29.104,0.8383,24.388,0.5166,model,model
L1_5d6159c9758c2b972f3e7bde6f77b796.npy,salt_and_pepper,0.0149,23.222,0.5726,42.694,0.9966,31.476,0.8065,39.675,0.9526,23.489,0.5665,model,model
L1_8b017ef629c5f0366414e329dc10098e.npy,salt_and_pepper,0.0127,24.908,0.7901,38.339,0.989,27.714,0.8303,29.618,0.8939,25.833,0.7636,model,model
